S/N,Procurement Code,Procurement Type,Agency,Procurement Description,Date of Award (2017-2022),Supplier, Awarded Amount 
6796,ITT20220098,ITT,Ministry of Strategic Economic Planning,Indoor air quality monitoring and improvement measures.,5/3/2022,Reliable Facility Services," $232,596.00 "
6797,ITT20220099,ITT,National Commission for Space Exploration,Renovation and remodeling project management.,5/3/2022,SecureSpace Management," $262,035.00 "
6798,ITT20220100,ITT,Commission for Ethical Governance,Energy-efficient lighting installation and maintenance.,5/3/2022,SwiftReach Building Maintenance," $320,664.00 "
6799,ITT20220101,ITT,Office of International Relations and Diplomatic Affairs,Expert landscaping and groundskeeping solutions.,5/3/2022,UrbanEdge Maintenance," $362,923.00 "
6800,ITT20220102,ITT,Agency for Cultural Preservation and Heritage,HVAC system maintenance and climate control optimization.,5/3/2022,SkyHarbor Facility Experts," $437,735.00 "
6801,ITT20220103,ITT,Institute for Social Justice and Equality,Pest control services for a pest-free environment.,5/3/2022,CleanSweep Property Management," $536,524.00 "
6802,ITT20220104,ITT,Office of International Relations and Diplomatic Affairs,Energy-efficient lighting installation and maintenance.,6/3/2022,InfiniteGuard Building Care," $288,493.00 "
6803,ITT20220105,ITT,Department of Advanced Technological Research,Comprehensive janitorial services and cleanliness maintenance.,7/3/2022,TrueNorth Facility Solutions," $357,992.00 "
6804,ITT20220106,ITT,Department of Public Health and Disease Control,Health and safety compliance management and training.,8/3/2022,TrustGuard Facilities," $178,395.00 "
6805,ITT20220107,ITT,Institute for Social Justice and Equality,Energy-efficient lighting installation and maintenance.,8/3/2022,UrbanReach Facility Support," $519,501.00 "
6806,ITT20220108,ITT,National Institute of Scientific Advancement,Energy-efficient lighting installation and maintenance.,9/3/2022,InfiniteGuard Building Care," $407,411.00 "
6807,ITT20220109,ITT,Institute for Social Justice and Equality,Pest control services for a pest-free environment.,10/3/2022,UrbanEdge Maintenance," $380,376.00 "
6808,ITT20220110,ITT,Office of International Relations and Diplomatic Affairs,Waste management and recycling program implementation.,11/3/2022,GoldenReach Property Management," $389,940.00 "
6809,ITT20220111,ITT,Institute for Social Justice and Equality,Pest control services for a pest-free environment.,12/3/2022,SilverReach Facility Services," $122,422.00 "
6810,ITT20220112,ITT,Ministry of Strategic Economic Planning,Space planning and utilization optimization strategies.,12/3/2022,GrandReach Facility Care," $179,622.00 "
6811,ITT20220113,ITT,Institute for Social Justice and Equality,Indoor air quality monitoring and improvement measures.,12/3/2022,SilverTech Facilities Masters," $240,209.00 "
6812,ITT20220114,ITT,National Cybersecurity Task Force,Renovation and remodeling project management.,13/3/2022,GrandPro Facilities Support," $134,981.00 "
6813,ITT20220115,ITT,Commission for Ethical Governance,Renovation and remodeling project management.,14/3/2022,GreenWave Facilities Management," $324,661.00 "
6814,ITT20220116,ITT,Institute for Social Justice and Equality,Tenant communication and customer service assistance.,15/3/2022,StarHarbor Facilities Group," $201,302.00 "
6815,ITT20220117,ITT,Department of Public Health and Disease Control,Energy-efficient lighting installation and maintenance.,15/3/2022,SkyHigh Property Management," $502,243.00 "
6816,ITT20220118,ITT,Federal Agency for Environmental Protection,Fire safety system installation and maintenance.,16/3/2022,FreshStart Building Solutions," $143,452.00 "
6817,ITT20220119,ITT,Institute for Social Justice and Equality,Pest control services for a pest-free environment.,16/3/2022,SkyStone Property Solutions," $160,354.00 "
6818,ITT20220120,ITT,Institute for Social Justice and Equality,Furniture and equipment maintenance and inventory tracking.,16/3/2022,GoldenReach Property Management," $386,632.00 "
6819,ITT20220121,ITT,Department of Public Health and Disease Control,Energy-efficient lighting installation and maintenance.,17/3/2022,GoldenHarbor Management," $147,943.00 "
6820,ITT20220122,ITT,Institute for Social Justice and Equality,Renovation and remodeling project management.,17/3/2022,SafeHarbor Facilities Group," $233,852.00 "
6821,ITT20220123,ITT,Institute for Social Justice and Equality,Building maintenance and repairs.,17/3/2022,Reliable Facility Services," $261,462.00 "
6822,ITT20220124,ITT,Office of International Relations and Diplomatic Affairs,Space planning and utilization optimization strategies.,17/3/2022,SwiftReach Building Maintenance," $285,586.00 "
6823,ITT20220125,ITT,Institute for Social Justice and Equality,Emergency response and disaster recovery planning.,18/3/2022,SwiftGuard Management," $262,171.00 "
6824,ITT20220126,ITT,Institute for Social Justice and Equality,Parking management and traffic control solutions.,18/3/2022,TrustEdge Building Maintenance," $412,297.00 "
6825,ITT20220127,ITT,Institute for Social Justice and Equality,Indoor air quality monitoring and improvement measures.,19/3/2022,SwiftGuard Management," $123,341.00 "
6826,ITT20220128,ITT,Agency for Cultural Preservation and Heritage,Energy-efficient systems and consumption monitoring.,20/3/2022,GreenLine Building Experts," $312,026.00 "
6827,ITT20220129,ITT,Institute for Social Justice and Equality,Tenant communication and customer service assistance.,21/3/2022,AlphaCrest Property Support," $136,887.00 "
6828,ITT20220130,ITT,Department of Advanced Technological Research,Tenant communication and customer service assistance.,22/3/2022,SafeHarbor Facilities Group," $340,256.00 "
6829,ITT20220131,ITT,Agency for Cultural Preservation and Heritage,Pest control services for a pest-free environment.,25/3/2022,BlueSky Property Care," $193,906.00 "
6830,ITT20220132,ITT,Office of International Relations and Diplomatic Affairs,Waste management and recycling program implementation.,25/3/2022,BlueCrest Facility Support," $198,859.00 "
6831,ITT20220133,ITT,Institute for Social Justice and Equality,HVAC system maintenance and climate control optimization.,26/3/2022,GoldenGate Facility Masters," $153,607.00 "
6832,ITT20220134,ITT,Office of International Relations and Diplomatic Affairs,Emergency response and disaster recovery planning.,26/3/2022,InfiniteGuard Building Care," $434,407.00 "
6833,ITT20220135,ITT,Institute for Social Justice and Equality,Health and safety compliance management and training.,26/3/2022,StarTech Facility Solutions," $469,991.00 "
6834,ITT20220136,ITT,National Institute of Scientific Advancement,Energy-efficient lighting installation and maintenance.,29/3/2022,UrbanTech Management," $306,252.00 "
6835,ITT20220137,ITT,National Commission for Space Exploration,Energy-efficient lighting installation and maintenance.,29/3/2022,SecureSpace Management," $324,593.00 "
6836,ITT20220138,ITT,Department of Advanced Technological Research,Renovation and remodeling project management.,30/3/2022,GreenCrest Facilities Group," $439,906.00 "
6837,ITT20220139,ITT,Institute for Social Justice and Equality,Parking management and traffic control solutions.,31/3/2022,SafeReach Property Solutions," $485,026.00 "
6838,ITT20220140,ITT,National Institute of Scientific Advancement,Parking management and traffic control solutions.,2/4/2022,ApexGuard Facility Services," $474,879.00 "
6839,ITT20220141,ITT,Agency for Cultural Preservation and Heritage,Furniture and equipment maintenance and inventory tracking.,3/4/2022,SkyHarbor Facility Experts," $318,107.00 "
6840,ITT20220142,ITT,Commission for Ethical Governance,Tenant communication and customer service assistance.,5/4/2022,UrbanReach Facility Support," $107,799.00 "
6841,ITT20220143,ITT,Commission for Ethical Governance,Building maintenance and repairs.,6/4/2022,InfiniteGuard Building Care," $439,660.00 "
6842,ITT20220144,ITT,Federal Agency for Environmental Protection,Pest control services for a pest-free environment.,7/4/2022,GreenWave Facilities Management," $111,656.00 "
6843,ITT20220145,ITT,Office of International Relations and Diplomatic Affairs,Building automation and smart technology integration.,7/4/2022,InfinitePro Facility Care," $182,517.00 "
6844,ITT20220146,ITT,National Institute of Scientific Advancement,Building automation and smart technology integration.,7/4/2022,CleanHarbor Facility Care," $263,765.00 "
6845,ITT20220147,ITT,Bureau of National Security and Intelligence,Building automation and smart technology integration.,8/4/2022,UrbanGuard Facilities," $452,634.00 "
6846,ITT20220148,ITT,Office of International Relations and Diplomatic Affairs,Pest control services for a pest-free environment.,8/4/2022,TrustMax Facilities Masters," $589,882.00 "
6847,ITT20220149,ITT,Department of Advanced Technological Research,Fire safety system installation and maintenance.,9/4/2022,BlueSky Property Care," $429,947.00 "
6848,ITT20220150,ITT,National Cybersecurity Task Force,Energy-efficient systems and consumption monitoring.,9/4/2022,CleanReach Facility Experts," $438,349.00 "
6849,ITT20220151,ITT,Ministry of Strategic Economic Planning,Building maintenance and repairs.,10/4/2022,SafeReach Property Solutions," $151,326.00 "
6850,ITT20220152,ITT,National Cybersecurity Task Force,Energy-efficient lighting installation and maintenance.,10/4/2022,InfiniteSpace Building Solutions," $341,321.00 "
6851,ITT20220153,ITT,Department of Energy Conservation and Sustainability,Space planning and utilization optimization strategies.,11/4/2022,SecurePrime Management," $306,895.00 "
6852,ITT20220154,ITT,Agency for Cultural Preservation and Heritage,Building maintenance and repairs.,11/4/2022,SecureReach Property Care," $317,269.00 "
6853,ITT20220155,ITT,Agency for Cultural Preservation and Heritage,Pest control services for a pest-free environment.,12/4/2022,EliteReach Building Solutions," $343,006.00 "
6854,ITT20220156,ITT,Office of International Relations and Diplomatic Affairs,Parking management and traffic control solutions.,13/4/2022,CleanHarbor Facility Care," $318,110.00 "
6855,ITT20220157,ITT,Office of International Relations and Diplomatic Affairs,Energy-efficient systems and consumption monitoring.,14/4/2022,EliteCare Facility Support," $300,083.00 "
6856,ITT20220158,ITT,Institute for Social Justice and Equality,HVAC system maintenance and climate control optimization.,15/4/2022,Xtreme Maintenance," $232,087.00 "
6857,ITT20220159,ITT,Department of Advanced Technological Research,Energy-efficient lighting installation and maintenance.,15/4/2022,CleanHarbor Facility Care," $432,392.00 "
6858,ITT20220160,ITT,Office of International Relations and Diplomatic Affairs,HVAC system maintenance and climate control optimization.,17/4/2022,SilverStone Management," $203,737.00 "
6859,ITT20220161,ITT,Institute for Social Justice and Equality,Comprehensive janitorial services and cleanliness maintenance.,18/4/2022,TrustMax Facilities Masters," $355,139.00 "
6860,ITT20220162,ITT,Commission for Ethical Governance,Indoor air quality monitoring and improvement measures.,20/4/2022,GreenPrime Facilities Group," $217,106.00 "
6861,ITT20220163,ITT,Federal Agency for Environmental Protection,Comprehensive janitorial services and cleanliness maintenance.,20/4/2022,UrbanGuard Facilities," $398,656.00 "
6862,ITT20220164,ITT,National Cybersecurity Task Force,Energy-efficient systems and consumption monitoring.,21/4/2022,StarStone Facility Services," $232,301.00 "
6863,ITT20220165,ITT,Department of Energy Conservation and Sustainability,Space planning and utilization optimization strategies.,25/4/2022,SwiftCrest Property Management," $449,856.00 "
6864,ITT20220166,ITT,Ministry of Strategic Economic Planning,Tenant communication and customer service assistance.,25/4/2022,InfinitePro Facility Care," $457,035.00 "
6865,ITT20220167,ITT,Institute for Social Justice and Equality,Renovation and remodeling project management.,27/4/2022,InfiniteCare Property Services," $289,655.00 "
6866,ITT20220168,ITT,Office of International Relations and Diplomatic Affairs,Comprehensive janitorial services and cleanliness maintenance.,27/4/2022,GoldenGate Facility Masters," $457,606.00 "
