S/N,Procurement Code,Procurement Type,Agency,Procurement Description,Date,Supplier,Awarded Amount
6632,ITT20210765,ITT,Department of Advanced Technological Research,Renovation and remodeling project management.,2021-11-30,GreenWave Facilities Management,212305
6633,ITT20210766,ITT,Agency for Cultural Preservation and Heritage,Space planning and utilization optimization strategies.,2021-12-01,TrustGuard Facilities,129522
6634,ITT20210767,ITT,Federal Agency for Environmental Protection,Fire safety system installation and maintenance.,2021-12-01,AlphaStone Property Support,144342
6635,ITT20210768,ITT,Bureau of National Security and Intelligence,Waste management and recycling program implementation.,2021-12-01,UrbanEagle Maintenance,212054
6636,ITT20210769,ITT,Office of Public Safety and Emergency Management,Expert landscaping and groundskeeping solutions.,2021-12-02,EliteCare Facility Support,310217
6637,ITT20210770,ITT,National Cybersecurity Task Force,Furniture and equipment maintenance and inventory tracking.,2021-12-02,GreenLine Building Experts,329385
6638,ITT20210771,ITT,Office of Public Safety and Emergency Management,Pest control services for a pest-free environment.,2021-12-03,ApexGuard Facility Services,199795
6639,ITT20210772,ITT,Ministry of Strategic Economic Planning,Building automation and smart technology integration.,2021-12-03,UrbanEagle Maintenance,430146
6640,ITT20210773,ITT,Federal Agency for Environmental Protection,Space planning and utilization optimization strategies.,2021-12-03,SafeHaven Maintenance,600976
6641,ITT20210774,ITT,Institute for Social Justice and Equality,Cleaning supplies and consumables procurement and management.,2021-12-04,InfiniteSpace Building Solutions,162140
6642,ITT20210775,ITT,Bureau of National Security and Intelligence,Health and safety compliance management and training.,2021-12-04,BlueBreeze Facility Solutions,352509
6643,ITT20210776,ITT,Institute for Social Justice and Equality,Renovation and remodeling project management.,2021-12-04,TrueView Management,447034
6644,ITT20210777,ITT,Department of Public Health and Disease Control,Pest control services for a pest-free environment.,2021-12-06,SafeHarbor Facilities Group,292620
6645,ITT20210778,ITT,Commission for Ethical Governance,Energy-efficient lighting installation and maintenance.,2021-12-06,SwiftGuard Management,431030
6646,ITT20210779,ITT,Institute for Social Justice and Equality,Renovation and remodeling project management.,2021-12-07,TruePro Building Experts,205527
6647,ITT20210780,ITT,Ministry of Strategic Economic Planning,Building automation and smart technology integration.,2021-12-07,GoldenReach Property Management,244588
6648,ITT20210781,ITT,Commission for Ethical Governance,Comprehensive janitorial services and cleanliness maintenance.,2021-12-08,InfiniteGuard Building Care,361174
6649,ITT20210782,ITT,National Cybersecurity Task Force,Parking management and traffic control solutions.,2021-12-09,GreenLine Building Experts,128418
6650,ITT20210783,ITT,Department of Advanced Technological Research,Cleaning supplies and consumables procurement and management.,2021-12-09,InfiniteSpace Building Solutions,231643
6651,ITT20210784,ITT,Institute for Social Justice and Equality,Building automation and smart technology integration.,2021-12-12,UrbanGuard Facilities,354768
6652,ITT20210785,ITT,Institute for Social Justice and Equality,Emergency response and disaster recovery planning.,2021-12-12,InfiniteGuard Building Care,397068
6653,ITT20210786,ITT,Ministry of Strategic Economic Planning,Health and safety compliance management and training.,2021-12-12,UrbanReach Facility Support,431411
6654,ITT20210787,ITT,Ministry of Strategic Economic Planning,24/7 security and access control management.,2021-12-12,BlueSail Property Experts,523438
6655,ITT20210788,ITT,Institute for Social Justice and Equality,Expert landscaping and groundskeeping solutions.,2021-12-13,FreshTech Management,456670
6656,ITT20210789,ITT,Commission for Ethical Governance,Energy-efficient lighting installation and maintenance.,2021-12-13,HighPoint Property Care,471155
6657,ITT20210790,ITT,Agency for Cultural Preservation and Heritage,Comprehensive janitorial services and cleanliness maintenance.,2021-12-14,SilverLine Facility Experts,184618
6658,ITT20210791,ITT,Commission for Ethical Governance,Furniture and equipment maintenance and inventory tracking.,2021-12-14,EverPro Property Support,280909
6659,ITT20210792,ITT,Department of Public Health and Disease Control,Waste management and recycling program implementation.,2021-12-15,TrueWave Facilities Management,194610
6660,ITT20210793,ITT,Institute for Social Justice and Equality,Parking management and traffic control solutions.,2021-12-15,SkyHigh Property Management,210839
6661,ITT20210794,ITT,National Institute of Scientific Advancement,Health and safety compliance management and training.,2021-12-15,GoldenHarbor Management,284810
6662,ITT20210795,ITT,Agency for Cultural Preservation and Heritage,Tenant communication and customer service assistance.,2021-12-16,SecurePrime Management,332112
6663,ITT20210796,ITT,Department of Advanced Technological Research,Building maintenance and repairs.,2021-12-17,UrbanTech Management,241313
6664,ITT20210797,ITT,Department of Advanced Technological Research,Furniture and equipment maintenance and inventory tracking.,2021-12-17,SwiftCrest Property Management,305650
6665,ITT20210798,ITT,Institute for Social Justice and Equality,Furniture and equipment maintenance and inventory tracking.,2021-12-18,InfinitePro Facility Care,488641
6666,ITT20210799,ITT,Agency for Cultural Preservation and Heritage,Building automation and smart technology integration.,2021-12-19,SkyQuest Facility Care,116006
6667,ITT20210800,ITT,Office of International Relations and Diplomatic Affairs,Pest control services for a pest-free environment.,2021-12-19,SwiftSail Building Solutions,144164
6668,ITT20210801,ITT,Federal Agency for Environmental Protection,Expert landscaping and groundskeeping solutions.,2021-12-19,HighTech Facilities Group,280154
6669,ITT20210802,ITT,National Cybersecurity Task Force,Renovation and remodeling project management.,2021-12-20,SafeHaven Maintenance,309748
6670,ITT20210803,ITT,Department of Energy Conservation and Sustainability,Energy-efficient lighting installation and maintenance.,2021-12-20,EverPrime Property Management,346284
6671,ITT20210804,ITT,Institute for Social Justice and Equality,HVAC system maintenance and climate control optimization.,2021-12-20,AlphaTech Facilities Management,547123
6672,ITT20210805,ITT,Commission for Ethical Governance,24/7 security and access control management.,2021-12-20,GreenPrime Facilities Group,563826
6673,ITT20210806,ITT,Agency for Cultural Preservation and Heritage,Energy-efficient lighting installation and maintenance.,2021-12-21,TruePro Building Experts,521901
6674,ITT20210807,ITT,Institute for Social Justice and Equality,Furniture and equipment maintenance and inventory tracking.,2021-12-22,HorizonHarbor Property Services,102417
6675,ITT20210808,ITT,Agency for Cultural Preservation and Heritage,Fire safety system installation and maintenance.,2021-12-23,GrandReach Facility Care,110107
6676,ITT20210809,ITT,Institute for Social Justice and Equality,Pest control services for a pest-free environment.,2021-12-23,TruePro Building Experts,287170
6677,ITT20210810,ITT,Ministry of Strategic Economic Planning,Pest control services for a pest-free environment.,2021-12-23,SafeReach Property Solutions,506073
6678,ITT20210811,ITT,Agency for Cultural Preservation and Heritage,Building maintenance and repairs.,2021-12-23,SecureTech Building Solutions,546174
6679,ITT20210812,ITT,Federal Agency for Environmental Protection,Energy-efficient systems and consumption monitoring.,2021-12-24,GrandView Facilities Group,145808
6680,ITT20210813,ITT,Institute for Social Justice and Equality,Cleaning supplies and consumables procurement and management.,2021-12-24,InfiniteSpace Building Solutions,326719
6681,ITT20210814,ITT,Office of International Relations and Diplomatic Affairs,Parking management and traffic control solutions.,2021-12-24,HorizonView Property Management,444591
6682,ITT20210815,ITT,Commission for Ethical Governance,Building automation and smart technology integration.,2021-12-24,ApexGuard Facility Services,509296
6683,ITT20210816,ITT,Department of Advanced Technological Research,Health and safety compliance management and training.,2021-12-24,BlueSail Property Experts,612118
6684,ITT20210817,ITT,Agency for Cultural Preservation and Heritage,Energy-efficient systems and consumption monitoring.,2021-12-25,SwiftTech Facility Solutions,144280
6685,ITT20210818,ITT,Commission for Ethical Governance,Expert landscaping and groundskeeping solutions.,2021-12-25,HorizonHarbor Property Services,306251
6686,ITT20210819,ITT,Institute for Social Justice and Equality,Furniture and equipment maintenance and inventory tracking.,2021-12-26,SkyHarbor Facility Experts,369412
6687,ITT20210820,ITT,Ministry of Strategic Economic Planning,Renovation and remodeling project management.,2021-12-26,SafeEdge Property Care,386590
6688,ITT20210821,ITT,Commission for Ethical Governance,HVAC system maintenance and climate control optimization.,2021-12-26,HorizonHarbor Property Services,403824
6689,ITT20210822,ITT,Federal Agency for Environmental Protection,Energy-efficient lighting installation and maintenance.,2021-12-27,AlphaCrest Property Support,111555
6690,ITT20210823,ITT,Agency for Cultural Preservation and Heritage,Building automation and smart technology integration.,2021-12-27,GreenLine Building Experts,154130
6691,ITT20210824,ITT,Institute for Social Justice and Equality,Energy-efficient systems and consumption monitoring.,2021-12-29,SafeTech Maintenance,125355
6692,ITT20210825,ITT,Institute for Social Justice and Equality,Health and safety compliance management and training.,2021-12-29,AlphaWave Property Solutions,348319
6693,ITT20210826,ITT,Agency for Cultural Preservation and Heritage,Pest control services for a pest-free environment.,2021-12-29,SwiftTech Facility Solutions,394247
6694,ITT20210827,ITT,Department of Advanced Technological Research,Space planning and utilization optimization strategies.,2021-12-30,GrandTech Building Solutions,280130
6695,ITT20210828,ITT,Office of International Relations and Diplomatic Affairs,Expert landscaping and groundskeeping solutions.,2021-12-30,BlueSky Property Care,340212
6696,ITT20210829,ITT,Office of Public Safety and Emergency Management,Renovation and remodeling project management.,2021-12-31,GoldenGate Facility Masters,108955
6697,ITT20210830,ITT,Institute for Social Justice and Equality,Emergency response and disaster recovery planning.,2021-12-31,InfiniteGuard Building Care,261162
6698,ITT20210831,ITT,Commission for Ethical Governance,Emergency response and disaster recovery planning.,2021-12-31,GreenWave Facilities Management,462429
6699,ITT20220001,ITT,Institute for Social Justice and Equality,Pest control services for a pest-free environment.,2022-01-01,VisionQuest Facility Care,140789
6700,ITT20220002,ITT,National Cybersecurity Task Force,Parking management and traffic control solutions.,2022-01-01,BlueSky Property Care,220560
